Step,"State (Ratio,Time,Traffic)",Optimal Multiplier,Environment Reward,Hour
0,"(1.6, 0, 0)",2.0,801528.12,0
1,"(1.6, 0, 0)",2.0,793939.0,1
2,"(1.6, 0, 0)",2.0,781679.65,2
3,"(1.6, 0, 0)",2.0,807365.91,3
4,"(1.6, 0, 0)",2.0,771171.63,4
5,"(1.6, 0, 0)",2.0,1626407.4,5
6,"(1.6, 0, 0)",2.0,2428519.3,6
7,"(1.6, 0, 0)",2.0,3181593.79,7
8,"(1.6, 0, 2)",1.5,3252315.2,8
9,"(1.6, 0, 2)",1.5,3875006.71,9
10,"(1.6, 0, 2)",1.5,4560273.46,10
11,"(1.6, 0, 1)",1.0,2668179.72,11
12,"(1.6, 1, 1)",2.0,4089953.42,12
13,"(1.6, 1, 1)",2.0,3193269.37,13
14,"(1.6, 1, 1)",2.0,4104547.88,14
15,"(1.6, 1, 1)",2.0,4788152.71,15
16,"(1.6, 1, 1)",2.0,5623540.0,16
17,"(1.6, 1, 1)",2.0,6447251.72,17
18,"(1.6, 2, 2)",2.0,7237104.27,18
19,"(1.6, 2, 2)",2.0,6449003.05,19
20,"(1.6, 2, 2)",2.0,5621788.67,20
21,"(1.6, 2, 2)",2.0,4730358.63,21
22,"(1.6, 2, 0)",1.0,1701710.5,22
