Step,Multiplier,Reward,Wait_Time,TimeOfDay,Traffic_Level
0,2,801528.12,0,0,0
1,2,793939,0,0,0
2,2,781679.65,0,0,0
3,2,807365.91,0,0,0
4,2,771171.63,0,0,0
5,2,1626407.4,0,0,0
6,2,2428519.3,0,0,0
7,2,3181593.79,0,0,0
8,2,4005305.51,0,0,2
9,2,4806833.63,0,0,2
10,2,5590848.4,0,0,2
11,1.5,4004635.17,811.81,0,1
12,2,4089953.42,0,1,1
13,2,3193269.37,0,1,1
14,2,4104547.88,0,1,1
15,2,4788152.71,0,1,1
16,2,5623540,0,1,1
17,2,6447251.72,0,1,1
18,2,7237104.27,0,2,2
19,2,6449003.05,0,2,2
20,2,5621788.67,0,2,2
21,2,4730358.63,0,2,2
22,2,3176339.79,0,2,0
23,2,801528.12,0,0,0
